FFT
power: 2
N:  36
N1: 6
N2: 1
N3: 1
0,0,0,0	0->0
0,1,0,0	1->6
0,2,0,0	2->12
0,3,0,0	3->18
0,4,0,0	4->24
0,5,0,0	5->30
1,0,0,0	6->1
1,1,0,0	7->7
1,2,0,0	8->13
1,3,0,0	9->19
1,4,0,0	10->25
1,5,0,0	11->31
2,0,0,0	12->2
2,1,0,0	13->8
2,2,0,0	14->14
2,3,0,0	15->20
2,4,0,0	16->26
2,5,0,0	17->32
3,0,0,0	18->3
3,1,0,0	19->9
3,2,0,0	20->15
3,3,0,0	21->21
3,4,0,0	22->27
3,5,0,0	23->33
4,0,0,0	24->4
4,1,0,0	25->10
4,2,0,0	26->16
4,3,0,0	27->22
4,4,0,0	28->28
4,5,0,0	29->34
5,0,0,0	30->5
5,1,0,0	31->11
5,2,0,0	32->17
5,3,0,0	33->23
5,4,0,0	34->29
5,5,0,0	35->35
Conj
Conj
power: 2
N:  36
N1: 6
N2: 1
N3: 1
0,0,0,0	0->0
0,1,0,0	1->6
0,2,0,0	2->12
0,3,0,0	3->18
0,4,0,0	4->24
0,5,0,0	5->30
1,0,0,0	6->1
1,1,0,0	7->7
1,2,0,0	8->13
1,3,0,0	9->19
1,4,0,0	10->25
1,5,0,0	11->31
2,0,0,0	12->2
2,1,0,0	13->8
2,2,0,0	14->14
2,3,0,0	15->20
2,4,0,0	16->26
2,5,0,0	17->32
3,0,0,0	18->3
3,1,0,0	19->9
3,2,0,0	20->15
3,3,0,0	21->21
3,4,0,0	22->27
3,5,0,0	23->33
4,0,0,0	24->4
4,1,0,0	25->10
4,2,0,0	26->16
4,3,0,0	27->22
4,4,0,0	28->28
4,5,0,0	29->34
5,0,0,0	30->5
5,1,0,0	31->11
5,2,0,0	32->17
5,3,0,0	33->23
5,4,0,0	34->29
5,5,0,0	35->35
